898.010009023;54.8803006285
898.130531102;54.8733550885
898.251053181;54.8664095486
898.37157526;54.8594640086
898.492097339;54.8525184686
898.612619417;54.8455729287
898.733141496;54.8386273887
898.853663575;54.8316818488
898.974185654;54.8247363088
899.094707732;54.8177907689
899.215229811;54.8108452289
899.33575189;54.803899689
899.456273969;54.796954149
899.576796048;54.7900086091
899.697318126;54.7830630691
899.817840205;54.7761175291
899.938362284;54.7691719892
900.058884363;54.7622264492
900.179406442;54.7552809093
900.29992852;54.7483353693
900.420450599;54.7413898294
900.540972678;54.7344442894
900.661494757;54.7274987495
900.782016835;54.7205532095
900.902538914;54.7136076696
901.023060993;54.7066621296
901.143583072;54.6997165896
901.264105151;54.6927710497
901.384627229;54.6858255097
901.505149308;54.6788799698
901.625671387;54.6719344298
901.746193466;54.6649888899
901.866715545;54.6580433499
901.987237623;54.65109781
902.107759702;54.64415227
902.228281781;54.6372067301
902.34880386;54.6302611901
902.469325938;54.6233156501
902.589848017;54.6163701102
902.710370096;54.6094245702
902.830892175;54.6024790303
902.951414254;54.5955334903
903.071936332;54.5885879504
903.192458411;54.5816424104
903.31298049;54.5746968705
903.433502569;54.5677513305
903.554024648;54.5608057906
903.674546726;54.5538602506
903.795068805;54.5469147106
903.915590884;54.5399691707
904.036112963;54.5330236307
904.156635041;54.5260780908
904.27715712;54.5191325508
904.397679199;54.5121870109
904.518201278;54.5052414709
904.638723357;54.498295931
904.759245435;54.491350391
904.879767514;54.4844048511
905.000289593;54.4774593111
905.120811672;54.4705137711
905.241333751;54.4635682312
905.361855829;54.4566226912
905.482377908;54.4496771513
905.602899987;54.4427316113
905.723422066;54.4357860714
905.843944144;54.4288405314
905.964466223;54.4218949915
906.084988302;54.4149494515
906.205510381;54.4080039116
906.32603246;54.4010583716
906.446554538;54.3941128316
906.567076617;54.3871672917
906.687598696;54.3802217517
906.808120775;54.3732762118
906.928642853;54.3663306718
907.049164932;54.3593851319
907.169687011;54.3524395919
907.29020909;54.345494052
907.410731169;54.338548512
907.531253247;54.3316029721
907.651775326;54.3246574321
907.772297405;54.3177118921
907.892819484;54.3107663522
908.013341563;54.3038208122
908.133863641;54.2968752723
908.25438572;54.2899297323
908.374907799;54.2829841924
908.495429878;54.2760386524
908.615951956;54.2690931125
908.736474035;54.2621475725
908.856996114;54.2552020326
908.977518193;54.2482564926
909.098040272;54.2413109526
909.21856235;54.2343654127
909.339084429;54.2274198727
909.459606508;54.2204743328
909.580128587;54.2135287928
909.700650666;54.2065832529
909.821172744;54.1996377129
909.941694823;54.192692173
910.062216902;54.185746633
910.182738981;54.1788010931
910.303261059;54.1718555531
910.423783138;54.1649100131
910.544305217;54.1579644732
910.664827296;54.1510189332
910.785349375;54.1440733933
910.905871453;54.1371278533
911.026393532;54.1301823134
911.146915611;54.1232367734
911.26743769;54.1162912335
911.387959769;54.1093456935
911.508481847;54.1024001536
911.629003926;54.0954546136
911.749526005;54.0885090736
911.870048084;54.0815635337
911.990570162;54.0746179937
912.111092241;54.0676724538
912.23161432;54.0607269138
912.352136399;54.0537813739
912.472658478;54.0468358339
912.593180556;54.039890294
912.713702635;54.032944754
912.834224714;54.0259992141
912.954746793;54.0190536741
913.075268871;54.0121081341
913.19579095;54.0051625942
913.316313029;53.9982170542
913.436835108;53.9912715143
913.557357187;53.9843259743
913.677879265;53.9773804344
913.798401344;53.9704348944
913.918923423;53.9634893545
914.039445502;53.9565438145
914.159967581;53.9495982746
914.280489659;53.9426527346
914.401011738;53.9357071946
914.521533817;53.9287616547
914.642055896;53.9218161147
914.762577974;53.9148705748
914.883100053;53.9079250348
915.003622132;53.9009794949
915.124144211;53.8940339549
915.24466629;53.887088415
915.365188368;53.880142875
915.485710447;53.8731973351
915.606232526;53.8662517951
915.726754605;53.8593062551
915.847276684;53.8523607152
915.967798762;53.8454151752
916.088320841;53.8384696353
916.20884292;53.8315240953
916.329364999;53.8245785554
916.449887077;53.8176330154
916.570409156;53.8106874755
916.690931235;53.8037419355
916.811453314;53.7967963956
916.931975393;53.7898508556
917.052497471;53.7829053156
917.17301955;53.7759597757
917.293541629;53.7690142357
917.414063708;53.7620686958
917.534585787;53.7551231558
917.655107865;53.7481776159
917.775629944;53.7412320759
917.896152023;53.734286536
918.016674102;53.727340996
918.13719618;53.7203954561
918.257718259;53.7134499161
918.378240338;53.7065043761
918.498762417;53.6995588362
918.619284496;53.6926132962
918.739806574;53.6856677563
918.860328653;53.6787222163
918.980850732;53.6717766764
919.101372811;53.6648311364
919.22189489;53.6578855965
919.342416968;53.6509400565
919.462939047;53.6439945166
919.583461126;53.6370489766
919.703983205;53.6301034366
919.824505283;53.6231578967
919.945027362;53.6162123567
920.065549441;53.6092668168
920.18607152;53.6023212768
920.306593599;53.5953757369
920.427115677;53.5884301969
920.547637756;53.581484657
920.668159835;53.574539117
920.788681914;53.5675935771
920.909203992;53.5606480371
921.029726071;53.5537024971
921.15024815;53.5467569572
921.270770229;53.5398114172
921.391292308;53.5328658773
921.511814386;53.5259203373
921.632336465;53.5189747974
921.752858544;53.5120292574
921.873380623;53.5050837175
921.993902702;53.4981381775
922.11442478;53.4911926376
922.234946859;53.4842470976
922.355468938;53.4773015576
922.475991017;53.4703560177
922.596513095;53.4634104777
922.717035174;53.4564649378
922.837557253;53.4495193978
922.958079332;53.4425738579
923.078601411;53.4356283179
923.199123489;53.428682778
923.319645568;53.421737238
923.440167647;53.4147916981
923.560689726;53.4078461581
923.681211805;53.4009006181
923.801733883;53.3939550782
923.922255962;53.3870095382
